curso_ofertado_id,nombre_seccion,codigo_curso,semestre,creditos,tipo_curso,profesor_id,profesor_popularidad,alumnos_previos,variacion_matricula,num_prerrequisitos,tasa_aprobacion,franja_horaria,alumnos_elegibles,cupo_maximo,alumnos_matriculados
2257,BEF01-2020-2-N,BEF01,2020-2,2,O,,0.75,25,0.0,0,0.75,1,297,30,25
2232,BEG01-2020-2-N,BEG01,2020-2,3,O,51,0.71,35,0.0,0,0.75,2,387,30,35
2336,BEG06-2020-2-M,BEG06,2020-2,3,O,81,0.71,23,0.0,1,0.75,3,99,30,23
2169,BFI01-2020-2-T,BFI01,2020-2,5,O,45,0.69,32,0.0,0,0.75,1,511,10,32
2238,BFI03-2020-2-P,BFI03,2020-2,5,O,3,0.7,35,0.0,2,0.75,1,387,30,35
2199,BFI05-2020-2-O,BFI05,2020-2,4,O,4,0.68,28,0.0,1,0.75,1,454,30,28
2171,BIC01-2020-2-N,BIC01,2020-2,2,O,76,0.7,32,0.0,0,0.75,1,511,30,32
2180,BMA01-2020-2-R,BMA01,2020-2,5,O,19,0.69,32,0.0,0,0.75,1,511,30,32
2202,BMA02-2020-2-N,BMA02,2020-2,5,O,80,0.64,28,0.0,1,0.75,1,454,30,28
2183,BMA03-2020-2-N,BMA03,2020-2,4,O,28,0.67,32,0.0,0,0.75,1,511,30,32
2239,BMA05-2020-2-M,BMA05,2020-2,5,O,15,0.73,35,0.0,1,0.75,2,387,30,35
2264,BMA07-2020-2-Q,BMA07,2020-2,4,O,85,0.66,25,0.0,1,0.75,2,297,30,25
2208,BMA09-2020-2-O,BMA09,2020-2,3,O,55,0.7,28,0.0,1,0.75,1,454,30,28
2246,BMA10-2020-2-P,BMA10,2020-2,3,O,47,0.71,35,0.0,2,0.75,2,387,30,35
2250,BMA15-2020-2-Q,BMA15,2020-2,3,O,46,0.69,35,0.0,1,0.75,3,387,30,35
2268,BMA18-2020-2-P,BMA18,2020-2,3,O,41,0.67,25,0.0,2,0.75,2,297,30,25
2282,BMA20-2020-2-N,BMA20,2020-2,3,E,12,0.67,12,0.0,1,0.75,2,511,30,12
2286,BMA22-2020-2-N,BMA22,2020-2,4,O,47,0.71,27,0.0,2,0.75,1,153,30,27
2363,BMT01-2020-2-M,BMT01,2020-2,2,E,33,0.68,6,0.0,0,0.75,2,511,30,6
2220,BQU01-2020-2-Q,BQU01,2020-2,5,O,67,0.68,28,0.0,0,0.75,1,454,30,28
2222,BRC01-2020-2-N,BRC01,2020-2,2,O,44,0.68,28,0.0,0,0.75,2,454,30,28
2192,BRN01-2020-2-O,BRN01,2020-2,3,O,5,0.68,32,0.0,0,0.75,2,511,30,32
2288,CBG01-2020-2-M,CBG01,2020-2,4,E,21,0.68,10,0.0,0,0.75,3,511,30,10
2225,CBN01-2020-2-M,CBN01,2020-2,4,O,7,0.69,25,0.0,1,0.75,1,297,30,25
2310,CBN03-2020-2-M,CBN03,2020-2,4,E,83,0.69,8,0.0,0,0.75,3,511,30,8
2328,CBN06-2020-2-M,CBN06,2020-2,4,E,56,0.67,9,0.0,0,0.75,2,511,30,9
2194,CBS01-2020-2-O,CBS01,2020-2,3,O,31,0.69,32,0.0,0,0.75,2,511,30,32
2229,CBS02-2020-2-M,CBS02,2020-2,3,O,70,0.69,28,0.0,2,0.75,1,454,30,28
2270,CBS03-2020-2-N,CBS03,2020-2,4,E,46,0.69,6,0.0,0,0.75,3,511,30,6
2290,CBS05-2020-2-M,CBS05,2020-2,4,O,12,0.67,27,0.0,1,0.75,1,153,30,27
2311,CIB02-2020-2-M,CIB02,2020-2,3,E,46,0.69,6,0.0,1,0.75,3,511,30,6
2350,CIB45-2020-2-O,CIB45,2020-2,4,O,89,0.67,26,0.0,1,0.75,2,59,30,26
2356,CIB46-2020-2-M,CIB46,2020-2,4,O,48,0.7,10,0.0,1,0.75,3,26,30,10
2252,EE306-2020-2-M,EE306,2020-2,3,O,18,0.61,35,0.0,1,0.75,3,387,30,35
2272,EE320-2020-2-N,EE320,2020-2,5,O,87,0.66,25,0.0,2,0.75,2,297,30,25
2276,EE410-2020-2-M,EE410,2020-2,4,O,19,0.69,25,0.0,1,0.75,2,297,30,25
2298,EE428-2020-2-S,EE428,2020-2,1,O,62,0.7,27,0.0,1,0.75,2,153,10,27
2301,EE430-2020-2-N,EE430,2020-2,4,O,35,0.72,34,0.0,1,0.75,3,107,30,34
2317,EE458-2020-2-P,EE458,2020-2,1,O,34,0.7,34,0.0,1,0.75,2,107,10,34
2341,EE468-2020-2-M,EE468,2020-2,4,E,32,0.69,5,0.0,0,0.75,2,511,30,5
2342,EE498-2020-2-M,EE498,2020-2,1,O,34,0.7,23,0.0,1,0.75,3,99,10,23
2365,EE508-2020-2-M,EE508,2020-2,3,E,48,0.7,7,0.0,0,0.75,3,511,30,7
2303,EE522-2020-2-M,EE522,2020-2,4,O,25,0.71,27,0.0,2,0.75,2,153,30,27
2332,EE530-2020-2-P,EE530,2020-2,4,O,65,0.71,23,0.0,1,0.75,2,99,30,23
2320,EE588-2020-2-N,EE588,2020-2,4,O,13,0.61,34,0.0,1,0.75,2,107,30,34
